"Table 318.10. Degrees conferred by postsecondary institutions, by level of degree and sex of student: Selected academic years, 1869-70 through 2031-32",,,,,,,,,,,,,,,,,,,
Year,Associate's degrees,Associate's degrees,Associate's degrees,Associate's degrees,Bachelor's degrees,Bachelor's degrees,Bachelor's degrees,Bachelor's degrees,Bachelor's degrees,Bachelor's degrees,Bachelor's degrees,Master's degrees,Master's degrees,Master's degrees,Master's degrees,Doctor's degrees\1\,Doctor's degrees\1\,Doctor's degrees\1\,Doctor's degrees\1\
Year,Total,Males,Females,Percent female,Total,Total,Males,Males,Females,Females,Percent female,Total,Males,Females,Percent female,Total,Males,Females,Percent female
1,2,3,4,5,6,6,7,7,8,8,9,10,11,12,13,14,15,16,17
1869-70,---,---,---,---,"9,371",\2\,"7,993",\2\,"1,378",\2\,14.7,0,0,0,---,1,1,0,0.0
1879-80,---,---,---,---,"12,896",\2\,"10,411",\2\,"2,485",\2\,19.3,879,868,11,1.3,54,51,3,5.6
1889-90,---,---,---,---,"15,539",\2\,"12,857",\2\,"2,682",\2\,17.3,"1,015",821,194,19.1,149,147,2,1.3
1899-1900,---,---,---,---,"27,410",\2\,"22,173",\2\,"5,237",\2\,19.1,"1,583","1,280",303,19.1,382,359,23,6.0
1909-10,---,---,---,---,"37,199",\2\,"28,762",\2\,"8,437",\2\,22.7,"2,113","1,555",558,26.4,443,399,44,9.9
1919-20,---,---,---,---,"48,622",\2\,"31,980",\2\,"16,642",\2\,34.2,"4,279","2,985","1,294",30.2,615,522,93,15.1
1929-30,---,---,---,---,"122,484",\2\,"73,615",\2\,"48,869",\2\,39.9,"14,969","8,925","6,044",40.4,"2,299","1,946",353,15.4
1939-40,---,---,---,---,"186,500",\2\,"109,546",\2\,"76,954",\2\,41.3,"26,731","16,508","10,223",38.2,"3,290","2,861",429,13.0
1949-50,---,---,---,---,"432,058",\2\,"328,841",\2\,"103,217",\2\,23.9,"58,183","41,220","16,963",29.2,"6,420","5,804",616,9.6
