Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
United States,USA,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9463755,9339916.1766,9152629.82966,9127359.17778,9057685.06365,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Enrolment in tertiary education, ISCED 6 programmes, female (number)",UIS.E.6.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5176318,5105460.94509,4981754.00372,4974681.17315,4947176.826,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Enrolment in tertiary education, ISCED 6 programmes, male (number)",UIS.E.6.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4287437,4234455.23151,4170875.82595,4152678.00463,4110508.23764,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2509358,2520013.22636,2541947.60929,2620946.62312,2651278.84228,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Enrolment in tertiary education, ISCED 7 programmes, female (number)",UIS.E.7.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1510533,1513788.3579,1527491.31271,1566196.23675,1597203.2724,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Enrolment in tertiary education, ISCED 7 programmes, male (number)",UIS.E.7.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,998825,1006224.86846,1014456.29658,1054750.38638,1054075.56988,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,391915,394963.77364,398814.39071,351076.37688,354198.15772,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Enrolment in tertiary education, ISCED 8 programmes, female (number)",UIS.E.8.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,189503,189947.6421,191648.68729,184378.76325,188029.7276,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Enrolment in tertiary education, ISCED 8 programmes, male (number)",UIS.E.8.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,202412,205016.13154,207165.70342,166697.61362,166168.43012,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"School age population, tertiary education, both sexes (number)",SP.TER.TOTL.IN,19472577,19964936,20444718,20724253,20824783,20941658,21049542,21215121,21465844,21801392,22054933,22379823,22531799,22510344,22228272,21973065,21712627,21566399,21452031,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"School age population, tertiary education, female (number)",SP.TER.TOTL.FE.IN,9510630,9741533,9957850,10081501,10125846,10155047,10207843,10303178,10447311,10626415,10769421,10932901,10985755,10959428,10810556,10690362,10572417,10514261,10471827,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"School age population, tertiary education, male (number)",SP.TER.TOTL.MA.IN,9961947,10223403,10486868,10642752,10698937,10786611,10841699,10911943,11018533,11174977,11285512,11446922,11546044,11550916,11417716,11282703,11140210,11052138,10980204,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Gross enrolment ratio for tertiary education, both sexes (%)",SE.TER.ENRR,67.80243,68.09729,77.90759,80.1559,81.15557,80.63483,83.0777,83.70855,85.01005,87.62199,92.62195,93.90658,93.17549,88.72642,88.62687,88.88941,88.83505,88.16739,88.29918,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Gross enrolment ratio for tertiary education, female (%)",SE.TER.ENRR.FE,77.40939,77.97988,90.05129,93.33526,95.25051,95.19016,98.27297,98.84382,99.85549,102.70556,108.25285,109.49806,108.93757,103.11261,102.59939,102.74733,102.2938,102.01133,102.35404,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Gross enrolment ratio for tertiary education, male (%)",SE.TER.ENRR.MA,58.6307,58.6805,66.37649,67.67156,67.81563,66.93172,68.77082,69.41766,70.93422,73.27885,77.70586,79.01522,78.17828,75.07691,75.39736,75.75902,76.06227,74.99719,74.89505,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Education Statistics - All Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/12/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
